band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,9.598991,9.110358,10.110742,2.0195932,1.4713491,2.7044363,31800.0,0.0034249890778964565,1.0,0.7,4.195024316961114,25.0,9.2290535,0.007610577267092261
5,5.0916963,4.8374734,5.35815,1.9039826,1.2757837,2.832162,41340.0,0.0022623140546526033,0.2,8.4,1.4081392273024494e-08,0.0,5.0916963,0.006675487131142218
8,2.78387,2.6445515,2.9278166,1.937604,1.3123013,2.8375485,66780.0,0.0032650376270186854,0.2,8.5,7.335602579822533e-09,0.0,2.78387,0.005252925654717587
11,1.574336,1.4918145,1.6621114,2.370253,1.3658774,4.514517,104940.0,0.0016488965219491614,0.2,9.3,2.803178925401244e-09,25.0,1.5413389,0.004190789733660874
14,0.8576356,0.8146115,0.9038127,2.089291,1.2751459,4.009901,162180.0,0.002545224309894567,0.5,3.1,0.008968863467934391,25.0,0.84163815,0.0033713207320740964
17,0.4833461,0.45873824,0.5095547,2.1518784,1.2933547,4.513294,257580.0,0.000928131609215177,0.5,2.7,0.006003235490368008,25.0,0.47401547,0.0026752851133031844
20,0.24735701,0.23467137,0.2616735,2.4168644,1.2767596,9.097979,381600.0,0.0009826001929819084,0.5,2.7,0.0030735432120321247,25.0,0.24268697,0.002198066092435259
23,0.12082742,0.114649996,0.12747675,2.248149,1.3707936,4.596758,610560.0,0.0011203195272457556,0.2,8.2,3.686045227265517e-10,0.0,0.12082742,0.0017377962858799252
26,0.052978814,0.049796898,0.057024956,4.653831,1.6947181,18.998148,973080.0,0.0007234453993844037,0.2,8.1,1.64836730536519e-10,25.0,0.05140849,0.0013765848003003353
29,0.020104643,0.018493604,0.022679133,13.155254,2.838861,66.09846,1376940.0,0.0011594876442090202,0.2,7.6,7.718027166944931e-11,50.0,0.018621352,0.0011572531101864485
32,0.0027146097,0.0025864688,0.002846731,1.4597125,1.0056723,2.2622225,419760.0,0.0015882524544358345,1.2,0.9,0.00153642655353547,50.0,0.0026496225,0.0020957932105484973
