band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,400631716371793.0,359302810197807.44,446214562556384.3,8.316573902865628,5.7575187335949405,10.650913365884168,2880.0,0.0069037719068555,0.1,14.0,2.8723525601269485e-08,25.0,305590768889036.6,0.0252480482623505,0.0066408321068704,0.11,14.0,6.889972018603065e-06,25.0,41517,1000000.0,0.42984,0.0,1000000.0,0.39369,0.0,1000000.0,0.37098,0.0,0.99950333
5,946126933927359.0,832220394094179.8,1067497895547224.8,21.399463180406244,18.4528611384096,24.572022472496712,8640.0,0.0140087094081287,0.1,3.3,0.0028023859322808,150.0,439141000768260.3,0.014591379330558,0.0140087094081287,0.1,3.3,0.0028023859322808,150.0,9720,1000000.0,0.409689,0.0,1000000.0,0.372671,0.0,1000000.0,0.349222,0.0,0.066711001
8,193453683221031.5,166965018617860.9,223524363416121.7,30.00240379524574,21.744311263613465,39.76915086625411,24480.0,0.0104854025536289,0.1,5.0,3.577608627076081e-05,350.0,93266653146143.52,0.0086732787358375,0.0104854025536289,0.1,5.0,3.577608627076081e-05,350.0,17425,1000000.0,0.350693,0.0,1000000.0,0.306198,0.0,1000000.0,0.282142,0.0,0.0091247217
11,14384255303088.066,11623886054453.22,19145267724398.2,100.20285300843204,14.093920822436,274.10471472705626,67680.0,0.0038803773181831,0.2,8.5,25384.95898421373,250.0,9747498907243.188,0.0052178990254114,0.0037085682377655,0.19,8.7,6255.351001756928,225.0,128485,1000000.0,0.221922,0.0,1000000.0,0.177872,0.0,1000000.0,0.152816,0.0,0.30890299
14,412631882902065.4,376327517331203.0,452412413494826.2,10.744118748535008,7.456208103428094,16.71503823137049,100000.0,0.0186808773340722,0.1,1.3,0.3264440065308195,0.0,412631882902065.4,0.0042930146183294,0.0186808773340722,0.1,1.3,0.3264440065308195,0.0,5272,1000000.0,0.337804,0.0,1000000.0,0.295791,0.0,1000000.0,0.271928,0.0,9.588224000000002e-31
17,388122981379094.4,365742185238809.4,412202092278038.6,3.3749157728985733,2.279852659636252,6.281313864563966,100000.0,0.002003152511192,0.1,10.0,6.554588853506828e-07,0.0,388122981379094.4,0.0042930146183294,0.002003152511192,0.1,10.0,6.554588853506828e-07,0.0,480540,1000000.0,0.424483,0.0,1000000.0,0.391073,0.0,1000000.0,0.368204,0.0,0.81635892
20,73427182295489.95,67160777314396.06,81680621765748.84,11.901692634445322,5.121551915734878,40.059997151402456,100000.0,0.0023226763344751,0.1,8.0,6.954831661238118e-07,100.0,65872868398802.54,0.0042930146183294,0.0023226763344751,0.1,8.0,6.954831661238118e-07,100.0,337500,1000000.0,0.341218,0.0,1000000.0,0.296043,0.0,1000000.0,0.27199,0.0,0.65241767
23,11116873638858.572,10438272332158.877,11901477634706.352,4.427513188243492,2.454237738122182,12.285350605596475,100000.0,0.0008036548109976,0.1,12.0,3.88589730195513e-09,25.0,10822123149919.742,0.0042930146183294,0.0008036548109976,0.1,12.0,3.88589730195513e-09,25.0,2883249,1000000.0,0.215988,0.0,1000000.0,0.171656,0.0,1000000.0,0.146689,0.0,0.99999995
26,3114393648514.945,2886461862881.734,3378224171997.241,7.238748415729535,4.201064730921425,17.51876219916927,100000.0,0.0006164542568853,0.1,6.3,2.1452057124047445e-07,0.0,3114393648514.945,0.0042930146183294,0.0006164542568853,0.1,6.3,2.1452057124047445e-07,0.0,4865481,1000000.0,0.0711707,0.0,1000000.0,0.0302426,6.821129999999998e-80,968913.0,0.00802881,5.00677e-06,1.0
29,65762145352.27044,61012672116.886986,71195392453.61052,6.770874511662678,4.171933015089947,17.270430897107605,100000.0,0.0021862026414314,0.2,1.6,40730.143658001485,0.0,65762145352.27044,0.0042930146183294,0.0021146689795213,0.19,1.8,10840.305274331717,0.0,427147,189781.0,0.0329724,6.881459999999996e-95,165944.0,0.00608642,0.00120671,136741.0,0.00692851,0.000134708,0.76163394
