band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,400631716371793.0,359302810197807.44,446214562556384.3,8.316573902865628,5.7575187335949405,10.650913365884168,2880.0,0.006903771906857037,0.1,14.0,2.8723525601268317e-08,25.0,305590768889036.6,0.0252480482623505
5,946126933927359.0,832220394094179.8,1067497895547224.8,21.399463180406244,18.45286113840961,24.572022472496712,8640.0,0.014008709408128484,0.1,3.3,0.0028023859322808434,150.0,439141000768260.3,0.01459137933055801
8,193453683221031.5,166965018617860.9,223524363416121.7,30.002403795245726,21.744311263613465,39.76915086625411,24480.0,0.010485402553629014,0.1,5.0,3.577608627076069e-05,350.0,93266653146143.52,0.008673278735837538
11,14384255303088.066,11623886054453.22,19145267724398.203,100.20285300843204,14.093920822435994,274.10471472705643,67680.0,0.0038803773181833776,0.2,8.5,25384.958984213088,250.0,9633622396459.648,0.005217899025411498
14,412631882902065.5,376327517331203.0,452412413494826.2,10.744118748534998,7.456208103428097,16.715038231370485,187200.0,0.018680877334072657,0.1,1.3,0.3264440065308173,0.0,412631882902065.5,0.0031380148313681173
17,388122981379094.4,365742185238809.4,412202092278038.7,3.3749157728985724,2.2798526596362536,6.281313864563966,519840.0,0.0020031525111908755,0.1,10.0,6.554588853506906e-07,0.0,388122981379094.44,0.0018833128424659345
20,73427182295489.95,67160777314396.05,81680621765748.86,11.90169263444532,5.121551915734878,40.059997151402456,1442880.0,0.002322676334474841,0.1,8.0,6.954831661238213e-07,100.0,65872868398802.52,0.0011305032347310806
23,11116873638858.572,10438272332158.877,11901477634706.352,4.427513188243492,2.4542377381221803,12.285350605596475,4007520.0,0.0008036548109996433,0.1,12.0,3.885897301955009e-09,25.0,10822123149919.74,0.0006783703088241033
26,3114393648514.944,2886461862881.7344,3378224171997.241,7.238748415729541,4.201064730921425,17.518762199169263,11121120.0,0.0006164542568852793,0.1,6.3,2.145205712404738e-07,0.0,3114393648514.944,0.0004072312197337857
30,35580456586.58633,32599962942.73297,38977033768.76475,9.753954386053584,6.129089309831527,21.775108343341483,8360640.0,0.0022178288431640436,0.1,3.4,1.8790949163139331e-07,0.0,35580456586.58633,0.0004696703183341334
