band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,720.0,0.2,14.0,0.0134736056523516,0.0,0.15,14.0,9.630591023397843,0.010224019610972968,0.0,18450
5,7200.0,0.1,9.5,0.0073019468542895,75.0,0.1,9.5,4.3917617438009045e-07,0.0073019468542895,75.0,36450
8,13680.0,0.2,13.0,0.0043291240490123,75.0,0.2,13.0,17140.08880133793,0.0043291240490123,75.0,103882
11,28080.0,0.2,19.0,0.002195146200889,25.0,0.23,19.0,20872.43137656041,0.0018019009760712138,50.0,576373
14,56160.0,0.1,0.7,0.0132299666301373,500.0,0.09,1.0,0.0006985930478259328,0.012270047489482294,525.0,11845
17,450720.0,0.1,7.8,0.007551819193322,0.0,0.1,7.8,5.876369158169676e-06,0.007551819193322,0.0,31690
20,901440.0,0.1,12.0,0.0010438907997223,25.0,0.1,12.0,1.0832329358127752e-08,0.0010438907997223,25.0,1711327
23,7211520.0,0.1,14.0,0.0009226982751382,25.0,0.1,14.0,4.6829601616882e-10,0.0009226982751382,25.0,2281770
26,3605760.0,0.1,7.6,0.0011730704968695,25.0,0.1,7.6,1.0245935564982345e-08,0.0011730704968695,25.0,1352160
30,7211520.0,0.1,4.3,0.0025636379268627,25.0,0.1,4.3,5.9446358677821675e-08,0.0025636379268627,25.0,285220
