band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,290481892974556.25,259705883747679.8,325560938497768.4,9.355459314694611,5.162749540963783,13.226102832667081,2880.0
5,457324141300332.56,378345697308662.94,545493141152538.3,48.455195647171394,40.60502543023666,56.28557203750822,8640.0
8,80896687420698.11,65501849257384.88,99566972030181.66,64.66168959043837,38.62347114442266,90.369748112182,24480.0
11,8118773388848.815,7500390092541.336,9011516961209.531,10.821601854392576,1.9447671222432006,31.85846517631578,67680.0
14,205367930545635.0,178417800427767.28,236710429662440.88,27.908863672344697,17.313949908603927,49.30124707322302,100000.0
17,388573155934066.6,362320290474240.4,417416590307776.7,5.466049986467276,3.609352074349073,9.266543452485758,100000.0
20,105501761645936.2,96971415987175.05,115531473520457.81,9.238366547947416,5.192424904973426,23.424462632528158,100000.0
23,10325747762119.2,9608832356896.287,11241546506580.568,7.135820440894946,2.948350115188751,23.809514114971734,100000.0
26,4818804752607.261,4519782134393.903,5148273114257.034,4.349166906385114,2.8387510462540972,8.808062225842859,100000.0
30,64015836146.25255,58946078546.19503,69749654389.5789,8.475053780310182,5.367546187827043,19.053446238871945,100000.0
