band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1177796400.0,1085633300.0,1276274000.0,7.8894424,6.780443,9.289664,57824238.0,0.0325206087338761,0.1,0.2,5.8594790591021565e-05,50.0,1177796352.0,0.0001785950202555,0.0317040572568733,0.11,0.0,0.0059392123339837,0.0,1764,10936.5,0.0981716,0.0,9665.3,0.0734447,0.0,7359.8,0.0709514,0.0,0.0
5,2881984000.0,2720006000.0,3048030700.0,2.91473,2.5252979,3.3321862,57824238.0,0.0271334934611398,0.2,0.7,7812.155844155844,50.0,2881984000.0,0.0001785950202555,0.026874962593323,0.22,0.4,70828.26185083542,0.0,2646,35744.1,0.0573328,0.0,30457.6,0.0332343,0.0,24839.6,0.0384817,0.0,0.0
8,1826215600.0,1719562900.0,1936165400.0,3.3893986,2.9267697,3.8735342,57824238.0,0.021074422605273,0.2,0.8,4187.074753949172,0.0,1801075968.0,0.0001785950202555,0.0204333141361552,0.23,0.5,71192.72894618115,25.0,4464,28715.0,0.0518896,0.0,24715.8,0.0262864,0.0,20214.0,0.0317385,0.0,0.0
11,1400472200.0,1321466100.0,1480592300.0,2.9130716,2.6095655,3.2330897,57824238.0,0.0296934432240366,0.2,0.2,11087.698638924676,100.0,1386371840.0,0.0001785950202555,0.0284009093133481,0.22,0.0,82904.67823301176,25.0,2232,21852.9,0.0724477,0.0,18821.6,0.0460776,0.0,15008.4,0.0490108,0.0,0.0
14,291577200.0,266942000.0,317296580.0,9.334773,8.048326,10.74021,57824238.0,0.0180035336518853,0.2,-0.4,12839.903388252616,50.0,291577216.0,0.0001785950202555,0.0170107439143084,0.21,-0.5,39142.49183803307,0.0,6696,7550.51,0.0755893,0.0,6516.22,0.0494083,0.0,5128.63,0.0512298,0.0,0.0
18,54196784.0,49852116.0,58934950.0,8.521688,6.3026543,12.618799,57824238.0,0.0152936864746942,0.2,-0.1,977.5754689754672,0.0,54196784.0,0.0001785950202555,0.0136721863690415,0.25,-0.4,48163.20581945581,0.0,10047,4013.67,0.0627452,0.0,3476.18,0.0363362,0.0,2733.64,0.0381667,0.0,0.0
21,23889534.0,21368572.0,26712340.0,16.49205,11.401858,25.397814,57824238.0,0.011264906414051,0.2,-0.5,1579.995634920635,0.0,23889534.0,0.0001785950202555,0.0090318458357807,0.24,-0.7,35467.606551482735,0.0,23821,2046.35,0.072211,0.0,1772.82,0.0463977,0.0,1380.82,0.0473127,0.0,0.0
24,18201182.0,15661617.0,21000344.0,30.35522,24.832424,36.772366,57824238.0,0.0096649816772617,0.1,-0.4,2.7148010491018747e-05,0.0,18201182.0,0.0001785950202555,0.0081332621233503,0.13,-0.7,0.6814722197346404,0.0,28234,822.455,0.0894689,0.0,722.434,0.0652056,0.0,547.059,0.0633311,0.0,0.0
27,8259777.5,6916688.5,9736188.0,42.007767,34.169865,51.2364,57824238.0,0.0144346404188872,0.2,-1.0,2635.243512043512,500.0,4049832.25,0.0001785950202555,0.012200208557605,0.23,-1.1,26651.70678488888,425.0,11910,390.961,0.08796,0.0,342.658,0.0641509,0.0,257.821,0.0624755,0.0,0.0
31,228767.81,182654.7,289083.94,77.42566,45.591694,187.90242,57824238.0,0.0374610950045759,0.3,-1.2,9215.25874028496,500.0,75845.9765625,0.0001785950202555,0.0318832623969645,0.5,-1.26,100000.0,600.0,1764,68.5186,0.0796286,0.0,58.8913,0.0580219,0.0,42.9311,0.0578394,0.0,0.0
