band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,930436350.0,845057660.0,1021506300.0,11.473453,9.6854725,14.096589,100000.0,0.023594101589382,0.1,0.0,0.0001307342415761,0.0,930436352.0,0.0042930146183294,0.0216241268483003,0.13,-0.4,6.042356028598689,0.0,3952,8540.65,0.0922929,0.0,7611.15,0.0681418,0.0,5762.64,0.0648298,0.0,4.7333487e-41
5,2321099000.0,2173827300.0,2472826600.0,4.321749,3.7806487,4.902878,100000.0,0.0323718365122299,0.2,-0.1,41224.98124098117,25.0,2321099008.0,0.0042930146183294,0.031782940655378,0.2,-0.13,45637.74719990692,0.0,1756,26223.8,0.0753292,0.0,22111.3,0.0515322,3.0947499999999996e-231,17645.5,0.0552643,6.695569999999998e-266,3.398892199999998e-88
8,1711880300.0,1608208000.0,1819151700.0,3.8177376,3.3003387,4.358519,100000.0,0.0242660901556309,0.2,0.4,8843.3919323268,0.0,1711880320.0,0.0042930146183294,0.024100542537139,0.21,0.3,24969.364077802653,0.0,3125,26173.4,0.0581049,6.504469999999998e-294,22356.2,0.0332634,1.4541599999999992e-96,18175.0,0.0382922,7.729189999999996e-128,6.8685026e-51
11,1487492100.0,1403327400.0,1572967300.0,2.9475698,2.6434932,3.2667594,100000.0,0.0309902331701921,0.2,0.1,15356.977777777778,50.0,1472722688.0,0.0042930146183294,0.0303743237577707,0.21,0.0,43855.58684189735,25.0,1975,22091.0,0.0743822,0.0,18936.7,0.0485602,2.2834499999999994e-205,15102.1,0.0517559,3.02871e-233,1.3803695999999995e-80
14,350565760.0,321480260.0,380877730.0,8.853598,7.7604337,10.020346,100000.0,0.0174761013503951,0.2,-0.5,22646.774603174603,25.0,350565760.0,0.0042930146183294,0.0172215482395798,0.2,-0.52,24995.119397394228,0.0,6250,7782.39,0.0791608,0.0,6731.7,0.0531252,9.80571e-246,5262.09,0.0542526,2.90222e-256,3.4169713000000003e-26
18,71406210.0,65470708.0,77831480.0,9.277631,7.0974956,12.407567,100000.0,0.0163377272001531,0.2,-0.2,1727.5456030725377,0.0,71406208.0,0.0042930146183294,0.0153243455159879,0.25,-0.5,85007.39047619047,0.0,7908,4380.59,0.0666136,0.0,3787.54,0.0403455,7.129969999999995e-142,2974.68,0.0421448,8.929259999999996e-155,7.9070685e-21
21,27985542.0,25214056.0,31042610.0,14.15254,10.132266,20.440014,100000.0,0.0150758881223715,0.2,-0.4,1194.262160543275,50.0,27985542.0,0.0042930146183294,0.011476162708512,0.26,-0.7,96455.70264846736,0.0,14062,2337.16,0.0712665,0.0,2015.86,0.0457528,2.399659999999999e-182,1571.79,0.0471294,1.8331099999999994e-193,7.2090896e-12
24,23399628.0,20473728.0,26575070.0,23.594416,19.813868,27.847523,100000.0,0.0081234301014935,0.2,-1.0,16623.112354312354,0.0,23399628.0,0.0042930146183294,0.0072569396089706,0.2,-0.98,14704.264636329866,0.0,35593,1042.31,0.0910691,0.0,907.306,0.0671295,0.0,685.771,0.0659546,0.0,5.3042069e-05
27,11426148.0,9846249.0,13131200.0,29.143429,24.490961,34.455246,100000.0,0.0100867150706849,0.2,-1.1,13782.505555555554,75.0,9557462.0,0.0042930146183294,0.0096467363914916,0.2,-1.09,12353.417054878822,100.0,20020,482.045,0.0920299,0.0,421.243,0.0691585,0.0,313.621,0.0672864,0.0,1.6407418e-08
31,307591.56,254835.25,373356.12,52.778656,33.75305,124.280266,100000.0,0.0329246036204427,0.2,-1.1,227.7913194444444,350.0,146170.984375,0.0042930146183294,0.0260596822902747,0.5,-1.26,100000.0,450.0,2635,77.641,0.0886244,0.0,67.946,0.0662651,0.0,49.9319,0.0645134,0.0,1.9871070999999998e-59
