band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,100000.0,0.1,0.0,0.023594101589382,0.0,0.13,-0.4,6.042356028598689,0.021624126848300396,0.0,3952
5,100000.0,0.2,-0.1,0.0323718365122299,25.0,0.2,-0.13,45637.74719990692,0.03178294065537807,0.0,1756
8,100000.0,0.2,0.4,0.0242660901556309,0.0,0.21,0.3,24969.364077802653,0.02410054253713903,0.0,3125
11,100000.0,0.2,0.1,0.0309902331701921,50.0,0.21,0.0,43855.58684189735,0.030374323757770702,25.0,1975
14,100000.0,0.2,-0.5,0.0174761013503951,25.0,0.2,-0.52,24995.119397394228,0.017221548239579873,0.0,6250
18,100000.0,0.2,-0.2,0.0163377272001531,0.0,0.25,-0.5,85007.39047619047,0.015324345515987936,0.0,7908
21,100000.0,0.2,-0.4,0.0150758881223715,50.0,0.26,-0.7,96455.70264846736,0.011476162708512039,0.0,14062
24,100000.0,0.2,-1.0,0.0081234301014935,0.0,0.2,-0.98,14704.264636329866,0.0072569396089706695,0.0,35593
27,100000.0,0.2,-1.1,0.0100867150706849,75.0,0.2,-1.09,12353.417054878822,0.009646736391491606,100.0,20020
31,100000.0,0.2,-1.1,0.0329246036204427,350.0,0.5,-1.26,100000.0,0.026059682290274777,450.0,2635
