sort_column,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,pass,beat_all_priors,failure_category,failure_type,github_plot,Notes,Column 1
,4500,agriVision,full,fourier,,blue,2,0.005747,0.0063984,TRUE,1,actually_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_2.jpg,,
,11700,agriVision,full,fourier,,blue,5,0.005108,0.0039690,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_5.jpg,,
,18900,agriVision,full,fourier,,blue,8,0.004159,0.0031230,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_8.jpg,,
,49500,agriVision,full,fourier,,blue,11,0.003599,0.0019300,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_11.jpg,,
,113400,agriVision,full,fourier,,blue,14,0.002984,0.0012752,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_14.jpg,,
,257400,agriVision,full,fourier,,blue,17,0.002642,0.0008464,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_17.jpg,,
,596700,agriVision,full,fourier,,blue,20,0.002492,0.0005559,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_20.jpg,,
,1388700,agriVision,full,fourier,,blue,23,0.004336,0.0003644,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_23.jpg,,
,3196800,agriVision,full,fourier,,blue,26,0.004508,0.0002402,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_26.jpg,,
,7370100,agriVision,full,fourier,,blue,29,0.006429,0.0001582,FALSE,1,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_29.jpg,,
,5963400,agriVision,full,fourier,,blue,32,0.007815,0.0001759,FALSE,0,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_32.jpg,,
